City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
39,misratah,LY,32.3754,15.0925,60.58,72,4,16.58,clear sky
40,mataura,NZ,-46.1927,168.8643,59.77,59,12,4.88,few clouds
41,kamenka,RU,51.3223,42.7678,15.93,85,18,11.99,few clouds
42,vaini,TO,-21.2,-175.2,82.56,89,20,2.3,light rain
43,viransehir,TR,37.2353,39.7631,44.82,67,100,12.33,overcast clouds
44,nyurba,RU,63.2842,118.3319,-68.78,100,65,1.3,broken clouds
45,port hedland,AU,-20.3167,118.5667,89.65,62,36,16.11,scattered clouds
46,kodiak,US,57.79,-152.4072,38.71,100,100,10.36,mist
47,kolomak,UA,49.8399,35.3044,28.87,83,100,7.49,overcast clouds
48,aden,YE,12.7794,45.0367,77.94,69,9,18.54,clear sky
49,esperance,AU,-33.8667,121.9,64.42,53,0,18.88,clear sky
50,namatanai,PG,-3.6667,152.4333,81.68,75,66,5.39,broken clouds
51,punta arenas,CL,-53.15,-70.9167,42.91,70,75,9.22,broken clouds
52,karlstad,SE,59.3793,13.5036,36.16,100,100,3.44,light rain
53,panorama,GR,40.5878,23.0315,45.43,80,100,1.01,overcast clouds
54,tokur,RU,53.1333,132.9,-35.9,100,96,3.42,overcast clouds
55,singkawang,ID,0.9,109.0,83.12,69,100,8.05,overcast clouds
56,hermanus,ZA,-34.4187,19.2345,71.87,67,43,10.38,scattered clouds
57,minador do negrao,BR,-9.3053,-36.8647,73.04,84,59,5.32,broken clouds
58,constitucion,CL,-35.3333,-72.4167,54.59,79,5,5.88,clear sky
59,raudeberg,NO,61.9875,5.1352,34.86,70,72,7.31,broken clouds
60,fort nelson,CA,58.8053,-122.7002,6.94,93,100,2.3,light snow
61,urucara,BR,-2.5364,-57.76,71.96,99,100,1.43,moderate rain
62,chaplynka,UA,46.3651,33.5403,32.79,80,87,8.99,overcast clouds
63,penzance,GB,50.1186,-5.5371,54.28,100,75,27.63,light intensity drizzle
64,provideniya,RU,64.3833,-173.3,-2.7,90,9,11.23,clear sky
65,lahij,YE,13.1667,44.5833,77.59,42,14,10.69,few clouds
66,carnarvon,AU,-24.8667,113.6333,83.39,60,0,22.3,clear sky
67,srednekolymsk,RU,67.45,153.6833,-25.28,94,100,4.34,overcast clouds
68,garango,BF,11.8,-0.5506,68.67,18,12,11.81,few clouds
69,tiksi,RU,71.6872,128.8694,-41.66,97,86,8.28,overcast clouds
70,nacimiento,CL,-37.5,-72.6667,49.95,90,16,5.06,few clouds
71,cape town,ZA,-33.9258,18.4232,74.1,68,20,19.57,few clouds
72,katsuura,JP,35.1333,140.3,50.02,90,100,26.44,overcast clouds
73,concepcion,CL,-36.827,-73.0498,55.2,82,0,10.36,clear sky
74,roma,US,43.2128,-75.4557,24.39,85,100,10.36,overcast clouds
75,ajdabiya,LY,30.7554,20.2263,59.14,56,94,2.55,overcast clouds
76,olga,RU,43.7444,135.2892,8.13,53,32,10.89,scattered clouds
77,igarka,RU,67.4667,86.5833,-35.75,91,91,6.89,overcast clouds
78,harper,LR,4.375,-7.7169,79.12,81,33,1.36,scattered clouds
79,thap than,TH,15.4606,99.8917,96.71,22,6,1.21,clear sky
80,saldanha,ZA,-33.0117,17.9442,69.85,77,91,19.44,overcast clouds
81,north bend,US,43.4065,-124.2243,49.86,100,100,6.91,overcast clouds
82,leningradskiy,RU,69.3833,178.4167,-21.57,100,79,3.09,broken clouds
83,acarau,BR,-2.8856,-40.12,77.14,86,58,9.57,broken clouds
84,severo-kurilsk,RU,50.6789,156.125,22.35,79,84,22.75,light snow
85,bambous virieux,MU,-20.3428,57.7575,84.45,61,40,12.66,scattered clouds
86,gorebridge,GB,55.8459,-3.0456,42.75,93,100,10.63,overcast clouds
87,ipero,BR,-23.3503,-47.6886,71.46,97,94,4.97,overcast clouds
88,new norfolk,AU,-42.7826,147.0587,87.89,31,7,5.99,clear sky
89,vao,NC,-22.6667,167.4833,77.54,73,1,15.12,clear sky
90,imbituba,BR,-28.24,-48.6703,77.86,91,95,6.2,overcast clouds
91,cabo san lucas,MX,22.8909,-109.9124,69.51,71,0,5.12,clear sky
92,mar del plata,AR,-38.0023,-57.5575,58.87,85,0,4.61,clear sky
93,wahiawa,US,21.5028,-158.0236,68.63,77,5,1.95,clear sky
94,norman wells,CA,65.282,-126.8329,-16.56,76,75,3.44,broken clouds
95,kamogawa,JP,35.1,140.1,60.13,91,100,22.48,overcast clouds
96,hobart,AU,-42.8794,147.3294,88.23,52,20,19.57,few clouds
97,tazovskiy,RU,67.4667,78.7,-17.41,96,100,12.71,overcast clouds
98,wolfville,CA,45.0835,-64.3655,51.6,96,100,5.75,moderate rain
99,butaritari,KI,3.0707,172.7902,81.34,79,75,12.48,light rain
100,weinan,CN,34.5036,109.5089,35.96,24,100,4.27,overcast clouds
101,saint george,US,37.1041,-113.5841,47.95,58,0,10.36,clear sky
102,clyde river,CA,70.4692,-68.5914,-14.57,76,100,3.44,overcast clouds
103,santa maria,BR,-29.6842,-53.8069,65.62,96,100,2.68,overcast clouds
104,abha,SA,18.2164,42.5053,60.62,55,40,12.66,scattered clouds
105,port alfred,ZA,-33.5906,26.891,77.18,76,99,3.0,overcast clouds
106,lebu,CL,-37.6167,-73.65,55.22,83,34,16.93,scattered clouds
107,tete,MZ,-16.1564,33.5867,85.39,62,98,5.06,overcast clouds
108,boyolangu,ID,-8.1181,111.8935,82.76,74,100,9.46,overcast clouds
109,djougou,BJ,9.7085,1.666,72.37,17,3,9.33,clear sky
110,hilo,US,19.7297,-155.09,79.29,84,0,5.75,clear sky
111,krasnyy chikoy,RU,50.3643,108.7512,-6.36,86,82,0.83,broken clouds
112,kutum,SD,14.2,24.6667,62.67,17,3,8.75,clear sky
113,terrace,CA,54.5163,-128.6035,35.51,93,100,3.44,light rain
114,arraial do cabo,BR,-22.9661,-42.0278,74.59,92,100,21.32,overcast clouds
115,bredasdorp,ZA,-34.5322,20.0403,75.16,55,20,6.44,few clouds
116,berlevag,NO,70.8578,29.0864,26.6,74,7,12.66,clear sky
117,pangai,TO,-19.8,-174.35,83.39,74,1,2.91,clear sky
118,vila do maio,CV,15.1333,-23.2167,70.59,70,27,15.88,scattered clouds
119,souillac,MU,-20.5167,57.5167,84.58,61,40,12.66,scattered clouds
120,kuldur,RU,49.2167,131.6333,-17.95,87,4,6.89,clear sky
121,orissaare,EE,58.5592,23.0826,40.96,93,100,19.89,overcast clouds
122,port elizabeth,ZA,-33.918,25.5701,75.31,67,100,4.61,overcast clouds
123,ambilobe,MG,-13.2,49.05,87.53,58,100,3.06,overcast clouds
124,lucapa,AO,-8.4192,20.7447,72.54,78,99,2.28,overcast clouds
125,vila velha,BR,-20.3297,-40.2925,76.95,89,20,6.91,few clouds
126,praia,CV,14.9215,-23.5087,70.34,78,0,17.27,clear sky
127,sydney,AU,-33.8679,151.2073,79.59,66,50,20.71,scattered clouds
128,brae,GB,60.3964,-1.353,42.31,78,100,20.54,light rain
129,mahebourg,MU,-20.4081,57.7,84.49,61,40,12.66,scattered clouds
130,saskylakh,RU,71.9167,114.0833,-37.7,95,100,2.21,overcast clouds
131,matagami,CA,49.7502,-77.6328,-16.49,83,0,8.05,clear sky
132,poum,NC,-20.2333,164.0167,81.0,72,62,17.56,broken clouds
133,bethel,US,41.3712,-73.414,35.55,76,100,12.66,overcast clouds
134,sawakin,SD,19.1059,37.3321,73.99,71,99,13.76,overcast clouds
135,yima,CN,34.7381,111.8839,30.22,66,100,12.91,overcast clouds
136,george town,MY,5.4112,100.3354,89.53,70,20,9.22,few clouds
137,pangoa,PE,-12.1167,-73.0,69.39,99,100,1.59,overcast clouds
138,kinshasa,CD,-4.3246,15.3215,79.61,72,57,2.04,broken clouds
139,karaman,TR,37.0833,33.25,38.03,45,92,0.89,overcast clouds
